epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.664,0.66378,1.83879,1.25675,1.04236,0.93309,0.97894,0.99343,0.92258,0.93309,0.97894,0.99343,0.83815,0.36712,0.65313,0.42542,0.87355,0.00332386,0.00332386,0.00332386
2,371.947,0.5446,0.79341,0.64129,0.92453,0.95835,0.97935,0.99088,0.92211,0.95835,0.97935,0.99088,0.8608,0.37895,0.54495,0.37365,0.83967,0.00662424,0.00662424,0.00662424
3,461.158,0.60627,0.80484,0.6877,0.93247,0.92935,0.89463,0.96572,0.83752,0.9279,0.89319,0.96398,0.76751,0.52097,0.91968,0.58162,0.91624,0.00989162,0.00989162,0.00989162
4,549.168,0.64134,0.85136,0.68901,0.94432,0.98414,0.96915,0.99266,0.90234,0.98414,0.96915,0.99266,0.82659,0.44328,0.71734,0.3896,0.88172,0.0098515,0.0098515,0.0098515
5,637.107,0.59714,0.79736,0.63633,0.93145,0.98397,0.98772,0.99416,0.91058,0.98397,0.98772,0.99416,0.8437,0.42053,0.64865,0.35705,0.86217,0.009802,0.009802,0.009802
6,725.608,0.56595,0.75043,0.59102,0.91784,0.98583,0.99722,0.99452,0.94095,0.98583,0.99722,0.99452,0.85806,0.35333,0.56857,0.28132,0.84761,0.0097525,0.0097525,0.0097525
7,813.415,0.54056,0.71854,0.55158,0.91092,0.99566,0.99653,0.99478,0.94632,0.99566,0.99653,0.99478,0.88394,0.33558,0.53228,0.26666,0.83825,0.009703,0.009703,0.009703
8,902.001,0.51363,0.69276,0.51532,0.90469,0.99767,0.99812,0.995,0.95264,0.99767,0.99812,0.995,0.88153,0.31897,0.53421,0.24756,0.82972,0.0096535,0.0096535,0.0096535
9,989.985,0.50146,0.68043,0.50287,0.90227,0.99448,0.99836,0.99479,0.95315,0.99448,0.99836,0.99479,0.88084,0.31656,0.49602,0.25835,0.82928,0.009604,0.009604,0.009604
10,1077.95,0.48377,0.67543,0.48432,0.8931,0.99808,0.99837,0.995,0.95771,0.99808,0.99837,0.995,0.88372,0.32031,0.49778,0.23327,0.83373,0.0095545,0.0095545,0.0095545
11,1166.35,0.47685,0.65043,0.47564,0.89424,0.99675,0.99752,0.995,0.96767,0.99675,0.99752,0.995,0.87821,0.28972,0.49807,0.22479,0.81998,0.009505,0.009505,0.009505
12,1254.03,0.4575,0.63368,0.45944,0.88469,0.99798,0.99577,0.995,0.95396,0.99798,0.99577,0.995,0.86995,0.32259,0.54585,0.23045,0.82782,0.0094555,0.0094555,0.0094555
13,1338.97,0.45124,0.62324,0.44625,0.88078,0.99778,0.99856,0.99498,0.97285,0.99778,0.99856,0.99498,0.88089,0.27885,0.5015,0.20498,0.81283,0.009406,0.009406,0.009406
14,1423.49,0.44757,0.61221,0.42781,0.87841,0.99746,0.99928,0.995,0.97205,0.99746,0.99928,0.995,0.88765,0.28759,0.47064,0.21227,0.81721,0.0093565,0.0093565,0.0093565
15,1508.3,0.43651,0.60612,0.41967,0.87661,0.99643,0.99867,0.995,0.97272,0.99643,0.99867,0.995,0.87832,0.28891,0.47821,0.21851,0.81274,0.009307,0.009307,0.009307
16,1595.53,0.43347,0.59982,0.40919,0.87734,0.99884,0.99928,0.995,0.97927,0.99884,0.99928,0.995,0.88604,0.25514,0.47221,0.1891,0.80556,0.0092575,0.0092575,0.0092575
17,1683.64,0.42659,0.59954,0.39398,0.87313,0.99508,0.99853,0.99484,0.97512,0.99508,0.99853,0.99484,0.87986,0.28073,0.51568,0.20314,0.81455,0.009208,0.009208,0.009208
18,1771.23,0.42016,0.58638,0.39191,0.87249,0.99926,1,0.995,0.97141,0.99926,1,0.995,0.8908,0.2775,0.46733,0.19014,0.81132,0.0091585,0.0091585,0.0091585
19,1858.91,0.41514,0.57828,0.38322,0.86876,0.99959,1,0.995,0.97731,0.99959,1,0.995,0.88029,0.25864,0.48273,0.18151,0.80409,0.009109,0.009109,0.009109
20,1946.42,0.41451,0.58251,0.37765,0.87044,0.99843,0.99842,0.995,0.97259,0.99843,0.99842,0.995,0.88295,0.27879,0.46416,0.18424,0.80967,0.0090595,0.0090595,0.0090595
21,2034.87,0.40363,0.57453,0.368,0.86733,0.99976,0.99977,0.995,0.97839,0.99976,0.99977,0.995,0.88729,0.2577,0.44938,0.17778,0.80787,0.00901,0.00901,0.00901
