epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.069,0.69204,1.93539,1.35502,1.03637,0.95445,0.94673,0.98836,0.9131,0.95445,0.94673,0.98836,0.82348,0.39031,0.66826,0.43421,0.83178,0.00332386,0.00332386,0.00332386
2,467.012,0.55083,0.79728,0.66508,0.89889,0.96494,0.97068,0.99306,0.91833,0.96494,0.97068,0.99306,0.85782,0.38954,0.58981,0.39134,0.82412,0.00662424,0.00662424,0.00662424
3,536.576,0.62858,0.79694,0.70228,0.91373,0.96985,0.97711,0.99038,0.89832,0.96985,0.97711,0.99038,0.84291,0.4502,0.59756,0.43666,0.81673,0.00989162,0.00989162,0.00989162
4,606.059,0.65914,0.83913,0.71326,0.91904,0.97407,0.97959,0.99274,0.89871,0.97407,0.97959,0.99274,0.83488,0.44802,0.69031,0.39374,0.81814,0.0098515,0.0098515,0.0098515
5,676.512,0.61414,0.78679,0.65898,0.90687,0.97531,0.98294,0.99169,0.91066,0.97531,0.98294,0.99169,0.85083,0.41258,0.60491,0.36406,0.80778,0.009802,0.009802,0.009802
6,746.312,0.58267,0.74493,0.61222,0.8955,0.98921,0.99034,0.99353,0.91091,0.98921,0.99034,0.99353,0.83841,0.42789,0.6162,0.34556,0.82667,0.0097525,0.0097525,0.0097525
7,816.346,0.55985,0.71201,0.58042,0.88857,0.99396,0.99089,0.99477,0.93911,0.99396,0.99089,0.99477,0.86316,0.35765,0.53152,0.29948,0.79233,0.009703,0.009703,0.009703
8,885.562,0.53064,0.69417,0.55051,0.8823,0.98902,0.9906,0.99493,0.94107,0.98902,0.9906,0.99493,0.87211,0.32169,0.51544,0.28663,0.79302,0.0096535,0.0096535,0.0096535
9,955.857,0.51822,0.67706,0.53146,0.88139,0.99266,0.99651,0.99496,0.94124,0.99266,0.99651,0.99496,0.87315,0.34388,0.51818,0.28234,0.79929,0.009604,0.009604,0.009604
10,1025.11,0.50552,0.67126,0.51662,0.87728,0.9982,0.99946,0.99497,0.94301,0.9982,0.99946,0.99497,0.86953,0.35414,0.50635,0.26394,0.78601,0.0095545,0.0095545,0.0095545
11,1094.79,0.49187,0.6421,0.49984,0.87503,0.99734,0.99742,0.99497,0.95036,0.99734,0.99742,0.99497,0.87517,0.33013,0.49847,0.25943,0.78218,0.009505,0.009505,0.009505
12,1164.39,0.47117,0.63491,0.47776,0.86692,0.99878,0.99977,0.99499,0.95714,0.99878,0.99977,0.99499,0.86586,0.31415,0.52918,0.25137,0.78345,0.0094555,0.0094555,0.0094555
13,1233.92,0.46874,0.62237,0.47686,0.86212,0.9953,0.99637,0.99499,0.95916,0.9953,0.99637,0.99499,0.87166,0.30228,0.49441,0.24602,0.78185,0.009406,0.009406,0.009406
14,1304.36,0.46248,0.61049,0.45548,0.86387,0.99943,1,0.995,0.95957,0.99943,1,0.995,0.88752,0.30085,0.46226,0.23385,0.77863,0.0093565,0.0093565,0.0093565
15,1373.49,0.4508,0.6034,0.44681,0.8626,0.99797,0.99913,0.99476,0.96533,0.99797,0.99913,0.99476,0.87914,0.29618,0.47536,0.23372,0.78234,0.009307,0.009307,0.009307
16,1443.45,0.45051,0.6029,0.43512,0.86117,0.99706,0.99806,0.99475,0.97577,0.99706,0.99806,0.99475,0.88719,0.26802,0.47593,0.22406,0.77378,0.0092575,0.0092575,0.0092575
17,1513.1,0.43958,0.60252,0.42468,0.85729,0.99857,0.99928,0.995,0.96307,0.99857,0.99928,0.995,0.88219,0.29188,0.49083,0.21844,0.77733,0.009208,0.009208,0.009208
18,1582.98,0.43258,0.5842,0.41476,0.85789,0.99885,0.99876,0.995,0.97125,0.99885,0.99876,0.995,0.87884,0.28612,0.47361,0.21683,0.77465,0.0091585,0.0091585,0.0091585
19,1651.42,0.42969,0.58262,0.40943,0.85595,0.99968,1,0.995,0.97476,0.99968,1,0.995,0.87953,0.27417,0.46805,0.21214,0.7713,0.009109,0.009109,0.009109
20,1720.05,0.42465,0.57882,0.40191,0.85507,0.99974,1,0.995,0.97508,0.99974,1,0.995,0.88036,0.2684,0.46372,0.2078,0.77171,0.0090595,0.0090595,0.0090595
21,1789.14,0.41421,0.57132,0.39565,0.85313,0.99971,1,0.995,0.97527,0.99971,1,0.995,0.89127,0.26862,0.44401,0.20966,0.77402,0.00901,0.00901,0.00901
22,1857.48,0.41866,0.57512,0.39013,0.85498,0.9991,0.99928,0.99486,0.98089,0.9991,0.99928,0.99486,0.8954,0.26008,0.42845,0.20787,0.77311,0.0089605,0.0089605,0.0089605
23,1925.58,0.4104,0.57137,0.38014,0.85311,0.99968,0.99992,0.995,0.9757,0.99968,0.99992,0.995,0.88328,0.2632,0.47494,0.19865,0.77226,0.008911,0.008911,0.008911
24,1993.61,0.405,0.5665,0.37335,0.85183,0.999,0.99934,0.995,0.97354,0.999,0.99934,0.995,0.87765,0.27209,0.48922,0.20171,0.77368,0.0088615,0.0088615,0.0088615
25,2061.52,0.40446,0.55734,0.36528,0.85191,0.99953,1,0.995,0.9745,0.99953,1,0.995,0.88578,0.2689,0.43849,0.21301,0.7726,0.008812,0.008812,0.008812
26,2129.68,0.40303,0.55444,0.36703,0.8487,0.99972,1,0.995,0.97862,0.99972,1,0.995,0.89595,0.26099,0.43202,0.19695,0.77043,0.0087625,0.0087625,0.0087625
27,2197.23,0.39836,0.55917,0.36194,0.84749,0.99924,0.99919,0.995,0.97781,0.99924,0.99919,0.995,0.88757,0.25359,0.46796,0.19981,0.77065,0.008713,0.008713,0.008713
28,2264.83,0.39384,0.5435,0.36018,0.85306,0.99981,1,0.995,0.9869,0.99981,1,0.995,0.90526,0.23382,0.4174,0.18738,0.76729,0.0086635,0.0086635,0.0086635
29,2332.49,0.39214,0.54427,0.35411,0.85116,0.99976,1,0.995,0.98342,0.99976,1,0.995,0.90023,0.23769,0.412,0.18322,0.76885,0.008614,0.008614,0.008614
