epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.635,0.91691,2.43394,2.43931,1.11987,0.86126,0.87974,0.94521,0.79135,0.86126,0.87974,0.94521,0.75423,0.64103,0.90681,1.00307,1.03381,0.00332386,0.00332386,0.00332386
2,244.213,0.71636,1.09222,1.10309,0.98047,0.91142,0.94113,0.98481,0.86107,0.91142,0.94113,0.98481,0.80336,0.54233,0.77204,0.8277,0.95017,0.00662424,0.00662424,0.00662424
3,306.987,0.7375,0.99152,0.98955,0.98215,0.96034,0.96051,0.98908,0.86536,0.96034,0.96051,0.98908,0.81904,0.53905,0.73153,0.64869,0.92974,0.00989162,0.00989162,0.00989162
4,368.662,0.73526,0.95442,0.92728,0.98291,0.97176,0.96992,0.99098,0.86896,0.97176,0.96992,0.99098,0.81388,0.54234,0.75144,0.58846,0.92379,0.0098515,0.0098515,0.0098515
5,430.654,0.69811,0.90552,0.84097,0.97042,0.98407,0.98084,0.9881,0.87208,0.98407,0.98084,0.98824,0.82397,0.49535,0.6921,0.47907,0.90477,0.009802,0.009802,0.009802
6,492.73,0.65676,0.83689,0.76625,0.95287,0.99448,0.99427,0.99083,0.88796,0.99448,0.99427,0.99083,0.84226,0.47453,0.61704,0.41722,0.89352,0.0097525,0.0097525,0.0097525
7,554.297,0.62937,0.81356,0.69958,0.9384,0.98785,0.98355,0.9935,0.90579,0.98785,0.98355,0.9935,0.83909,0.43089,0.62978,0.41615,0.8687,0.009703,0.009703,0.009703
8,615.484,0.59956,0.79265,0.65952,0.93232,0.99092,0.98877,0.9939,0.91688,0.99092,0.98877,0.9939,0.84394,0.40407,0.6242,0.35767,0.85906,0.0096535,0.0096535,0.0096535
9,676.891,0.59237,0.76779,0.64614,0.9276,0.99544,0.99614,0.99233,0.91886,0.99544,0.99614,0.99233,0.84275,0.39562,0.58826,0.34211,0.8537,0.009604,0.009604,0.009604
10,737.914,0.58253,0.7692,0.62217,0.92292,0.99691,0.99291,0.9944,0.9132,0.99691,0.99291,0.9944,0.8416,0.42335,0.61586,0.35532,0.86959,0.0095545,0.0095545,0.0095545
11,799.789,0.56712,0.75601,0.60033,0.92059,0.99187,0.98992,0.99285,0.92049,0.99187,0.98992,0.99285,0.86152,0.39265,0.57062,0.33072,0.85311,0.009505,0.009505,0.009505
12,860.676,0.54902,0.73315,0.57891,0.91018,0.99402,0.99179,0.99366,0.91946,0.99402,0.99179,0.99366,0.85155,0.4021,0.57284,0.32351,0.85056,0.0094555,0.0094555,0.0094555
