epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.63,0.7498,2.31809,1.47148,1.02593,0.95962,0.94166,0.99135,0.93669,0.95962,0.94166,0.99135,0.81089,0.3463,0.82494,0.34578,0.77991,0.00332386,0.00332386,0.00332386
2,463.036,0.57183,0.93601,0.69067,0.87952,0.98816,0.99148,0.99365,0.91061,0.98816,0.99148,0.99365,0.84208,0.41256,0.67453,0.31362,0.79168,0.00662424,0.00662424,0.00662424
3,525.798,0.63217,0.8779,0.70707,0.89753,0.91857,0.94382,0.98435,0.87801,0.91857,0.94382,0.98435,0.80585,0.47617,0.71108,0.51508,0.81456,0.00989162,0.00989162,0.00989162
4,588.988,0.65853,0.87595,0.70675,0.9033,0.981,0.96967,0.99238,0.90172,0.981,0.96967,0.99238,0.83893,0.44312,0.67022,0.3626,0.79939,0.0098515,0.0098515,0.0098515
5,652.251,0.62659,0.81614,0.66236,0.89558,0.9662,0.96927,0.98678,0.91477,0.9662,0.96927,0.98678,0.85307,0.39304,0.60178,0.35615,0.7889,0.009802,0.009802,0.009802
6,715.657,0.59721,0.77534,0.62157,0.88768,0.9885,0.9827,0.99205,0.92354,0.9885,0.9827,0.99205,0.85827,0.3966,0.60855,0.30528,0.79106,0.0097525,0.0097525,0.0097525
7,778.443,0.57418,0.75056,0.59304,0.87998,0.99774,0.99733,0.99494,0.92593,0.99774,0.99733,0.99494,0.8499,0.3827,0.55451,0.27656,0.78599,0.009703,0.009703,0.009703
8,841.613,0.54665,0.72191,0.55529,0.87266,0.9958,0.99684,0.99492,0.94767,0.9958,0.99684,0.99492,0.86636,0.33981,0.55824,0.25615,0.77788,0.0096535,0.0096535,0.0096535
9,904.515,0.53877,0.70776,0.55171,0.87003,0.99606,0.99512,0.99459,0.95486,0.99606,0.99512,0.99459,0.86247,0.32903,0.52846,0.24702,0.77867,0.009604,0.009604,0.009604
10,968.011,0.52244,0.70646,0.52794,0.86742,0.99724,0.99896,0.99475,0.94427,0.99724,0.99896,0.99475,0.86599,0.33907,0.52419,0.24098,0.77578,0.0095545,0.0095545,0.0095545
