epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.943,0.60921,1.7103,1.11181,1.016,0.99311,0.99001,0.99472,0.93753,0.99311,0.99001,0.99472,0.85968,0.35038,0.58678,0.32603,0.8616,0.00332386,0.00332386,0.00332386
2,461.545,0.51876,0.74539,0.61295,0.91419,0.98704,0.98837,0.99359,0.91449,0.98704,0.98837,0.99359,0.8581,0.39519,0.59614,0.3845,0.84988,0.00662424,0.00662424,0.00662424
3,547.314,0.59544,0.79023,0.67598,0.93349,0.97403,0.9864,0.99244,0.90615,0.97403,0.9864,0.99244,0.8533,0.40683,0.60143,0.41445,0.84188,0.00989162,0.00989162,0.00989162
4,632.904,0.62761,0.83059,0.6727,0.9439,0.89377,0.91053,0.9724,0.88443,0.89377,0.91053,0.97239,0.80711,0.4478,0.72996,0.56926,0.90311,0.0098515,0.0098515,0.0098515
5,717.978,0.58844,0.7951,0.62697,0.9344,0.99004,0.99405,0.99454,0.92455,0.99004,0.99405,0.99454,0.85751,0.38508,0.61786,0.31919,0.84969,0.009802,0.009802,0.009802
6,804.12,0.55884,0.74047,0.57149,0.91872,0.98646,0.98971,0.99373,0.93172,0.98646,0.98971,0.99373,0.86039,0.37902,0.58211,0.30476,0.86224,0.0097525,0.0097525,0.0097525
7,889.658,0.52481,0.70644,0.53808,0.90571,0.9953,0.99673,0.99493,0.95023,0.9953,0.99673,0.99493,0.86891,0.3301,0.52115,0.25765,0.83797,0.009703,0.009703,0.009703
8,975.339,0.50158,0.67854,0.50062,0.90194,0.98188,0.99128,0.99376,0.93625,0.98188,0.99128,0.99376,0.859,0.36045,0.54721,0.2909,0.84845,0.0096535,0.0096535,0.0096535
9,1060.85,0.49023,0.6647,0.49379,0.89919,0.99488,0.99807,0.99452,0.95637,0.99488,0.99807,0.99452,0.8747,0.31289,0.51238,0.23691,0.83063,0.009604,0.009604,0.009604
10,1146.02,0.4783,0.66334,0.47617,0.8919,0.99719,0.99664,0.99388,0.95643,0.99719,0.99664,0.99388,0.8746,0.3216,0.49191,0.23614,0.8298,0.0095545,0.0095545,0.0095545
