epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.374,0.6234,0.88492,1.16481,1.01305,0.99272,0.99545,0.99486,0.9434,0.99272,0.99545,0.99486,0.85896,0.32825,0.50767,0.33174,0.85265,0.00332386,0.00332386,0.00332386
2,263.666,0.51342,0.66999,0.5987,0.9186,0.99262,0.99431,0.99444,0.94111,0.99262,0.99431,0.99444,0.867,0.33769,0.49174,0.30576,0.8485,0.00662424,0.00662424,0.00662424
3,330.425,0.55135,0.70605,0.6072,0.91907,0.96909,0.97702,0.99393,0.9057,0.96909,0.97702,0.99393,0.86645,0.41759,0.56993,0.36864,0.86269,0.00989162,0.00989162,0.00989162
4,395.688,0.57693,0.74613,0.60512,0.92649,0.98733,0.99157,0.99337,0.93089,0.98733,0.99157,0.99337,0.85801,0.36693,0.59095,0.32156,0.85904,0.0098515,0.0098515,0.0098515
5,461.44,0.5439,0.7404,0.56036,0.91746,0.99194,0.99526,0.99394,0.93232,0.99194,0.99526,0.99394,0.87429,0.36557,0.5503,0.28361,0.8559,0.009802,0.009802,0.009802
6,527.503,0.52072,0.68506,0.51924,0.90513,0.99597,0.99383,0.9943,0.94949,0.99597,0.99383,0.9943,0.86907,0.33144,0.52634,0.24941,0.83664,0.0097525,0.0097525,0.0097525
7,593.113,0.49696,0.66589,0.48689,0.89635,0.99515,0.99767,0.99493,0.95484,0.99515,0.99767,0.99493,0.87269,0.3078,0.5148,0.23439,0.82826,0.009703,0.009703,0.009703
8,659.06,0.47543,0.6455,0.46135,0.89433,0.99887,0.99879,0.995,0.96547,0.99887,0.99879,0.995,0.88046,0.27998,0.48656,0.2203,0.81854,0.0096535,0.0096535,0.0096535
9,725.17,0.46745,0.63618,0.45411,0.89147,0.99842,0.99928,0.995,0.95784,0.99842,0.99928,0.995,0.87499,0.31957,0.50375,0.22096,0.82862,0.009604,0.009604,0.009604
10,790.613,0.45676,0.62906,0.43304,0.88618,0.99539,0.99662,0.995,0.96181,0.99539,0.99662,0.995,0.87792,0.29994,0.47764,0.2168,0.82333,0.0095545,0.0095545,0.0095545
11,856.313,0.44289,0.61221,0.42367,0.88374,0.99885,0.99846,0.995,0.97515,0.99885,0.99846,0.995,0.88371,0.25933,0.46014,0.19668,0.8103,0.009505,0.009505,0.009505
12,923.207,0.4274,0.59904,0.40216,0.87657,0.99724,0.9981,0.995,0.9576,0.99724,0.9981,0.995,0.87835,0.29258,0.49964,0.19779,0.81475,0.0094555,0.0094555,0.0094555
13,988.865,0.42427,0.59031,0.3947,0.87446,0.99806,0.99981,0.995,0.97836,0.99806,0.99981,0.995,0.87199,0.25068,0.49228,0.1823,0.80332,0.009406,0.009406,0.009406
14,1054.3,0.42114,0.57926,0.38775,0.87221,0.99966,0.99996,0.995,0.9745,0.99966,0.99996,0.995,0.8878,0.26883,0.4542,0.18411,0.81048,0.0093565,0.0093565,0.0093565
15,1120.17,0.41321,0.57894,0.37392,0.87094,0.99943,0.99975,0.995,0.97899,0.99943,0.99975,0.995,0.88453,0.25646,0.44855,0.18064,0.80414,0.009307,0.009307,0.009307
16,1185.76,0.41054,0.56733,0.36801,0.87062,0.99826,0.99807,0.99499,0.97541,0.99826,0.99807,0.99499,0.88376,0.25572,0.46584,0.17876,0.80305,0.0092575,0.0092575,0.0092575
17,1251.59,0.40403,0.57415,0.35202,0.8668,0.99977,1,0.995,0.97598,0.99977,1,0.995,0.88657,0.26928,0.45868,0.17989,0.80788,0.009208,0.009208,0.009208
18,1316.73,0.39482,0.56175,0.35124,0.86679,0.99965,0.99997,0.995,0.98185,0.99965,0.99997,0.995,0.88725,0.25799,0.4474,0.18167,0.80705,0.0091585,0.0091585,0.0091585
19,1382.32,0.39291,0.54804,0.35022,0.8629,0.99971,0.99942,0.995,0.98411,0.99971,0.99942,0.995,0.88135,0.24217,0.45509,0.173,0.80401,0.009109,0.009109,0.009109
20,1447.98,0.39505,0.55226,0.34329,0.86628,0.99768,0.99856,0.99454,0.97668,0.99768,0.99856,0.99454,0.87684,0.25899,0.45787,0.17813,0.80239,0.0090595,0.0090595,0.0090595
21,1513.51,0.38114,0.55204,0.32652,0.86094,0.99854,0.9986,0.995,0.98318,0.99854,0.9986,0.995,0.89824,0.25058,0.43077,0.17154,0.80197,0.00901,0.00901,0.00901
22,1578.83,0.38497,0.5514,0.33455,0.86152,0.99962,1,0.995,0.98656,0.99962,1,0.995,0.90469,0.22234,0.41148,0.16039,0.79245,0.0089605,0.0089605,0.0089605
23,1644.9,0.38207,0.55074,0.33084,0.86226,0.99973,1,0.995,0.98004,0.99973,1,0.995,0.88463,0.25258,0.45666,0.17142,0.80184,0.008911,0.008911,0.008911
24,1709.93,0.3737,0.54154,0.31897,0.85813,0.99931,0.99934,0.995,0.98126,0.99931,0.99934,0.995,0.88729,0.25254,0.47263,0.16586,0.79864,0.0088615,0.0088615,0.0088615
25,1775.07,0.37585,0.53358,0.31694,0.86043,0.99914,0.99938,0.995,0.98261,0.99914,0.99938,0.995,0.89627,0.24387,0.41267,0.16217,0.79622,0.008812,0.008812,0.008812
26,1841.17,0.37039,0.53147,0.30995,0.85748,0.99911,0.99935,0.995,0.98695,0.99911,0.99935,0.995,0.89485,0.22092,0.4175,0.15629,0.79156,0.0087625,0.0087625,0.0087625
27,1906.67,0.36726,0.53299,0.30653,0.85385,0.99966,0.99985,0.995,0.9878,0.99966,0.99985,0.995,0.88899,0.22621,0.45553,0.15863,0.79268,0.008713,0.008713,0.008713
28,1972.05,0.36309,0.52118,0.30271,0.85812,0.99975,1,0.995,0.98999,0.99975,1,0.995,0.90511,0.21292,0.40645,0.14736,0.7903,0.0086635,0.0086635,0.0086635
29,2037.12,0.36639,0.52045,0.30182,0.85822,0.99911,0.99933,0.995,0.98691,0.99911,0.99933,0.995,0.89631,0.21969,0.39904,0.15507,0.79113,0.008614,0.008614,0.008614
30,2102.93,0.36092,0.52225,0.29122,0.85704,0.99952,1,0.995,0.98699,0.99952,1,0.995,0.88516,0.23287,0.44744,0.15639,0.7916,0.0085645,0.0085645,0.0085645
31,2168.53,0.35738,0.51435,0.2874,0.85759,0.99912,1,0.995,0.98992,0.99912,1,0.995,0.89781,0.2222,0.40801,0.15363,0.79119,0.008515,0.008515,0.008515
32,2234.06,0.35902,0.51988,0.29251,0.85418,0.99895,1,0.995,0.98909,0.99895,1,0.995,0.89946,0.22172,0.40405,0.157,0.79156,0.0084655,0.0084655,0.0084655
