epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.181,0.68465,0.96211,1.23265,1.02591,0.98984,0.99645,0.99468,0.92602,0.98984,0.99645,0.99468,0.86909,0.37969,0.51874,0.36746,0.85638,0.00332386,0.00332386,0.00332386
2,238.578,0.54059,0.69177,0.64543,0.9134,0.9891,0.98962,0.99482,0.92173,0.9891,0.98962,0.99482,0.85478,0.38749,0.53528,0.33041,0.85213,0.00662424,0.00662424,0.00662424
3,301.184,0.58688,0.72284,0.64494,0.92847,0.94954,0.95557,0.99122,0.90005,0.94954,0.95557,0.99122,0.85733,0.45378,0.59841,0.43572,0.88833,0.00989162,0.00989162,0.00989162
4,362.213,0.60783,0.75467,0.64767,0.93172,0.99353,0.99291,0.99475,0.92977,0.99353,0.99291,0.99475,0.84509,0.36975,0.57931,0.33218,0.84029,0.0098515,0.0098515,0.0098515
5,423.683,0.56907,0.73427,0.59298,0.91873,0.99514,0.9938,0.99175,0.92682,0.99514,0.9938,0.99175,0.86538,0.3781,0.56196,0.30552,0.84221,0.009802,0.009802,0.009802
6,485.603,0.54227,0.69489,0.55079,0.90925,0.99455,0.99449,0.99445,0.93685,0.99455,0.99449,0.99445,0.86577,0.36493,0.52913,0.30064,0.84062,0.0097525,0.0097525,0.0097525
7,546.957,0.51912,0.67814,0.51827,0.89871,0.99578,0.99734,0.9939,0.9485,0.99578,0.99734,0.9939,0.87399,0.33343,0.49588,0.27195,0.8254,0.009703,0.009703,0.009703
8,608.489,0.49597,0.65821,0.49294,0.89788,0.98987,0.99024,0.99463,0.96173,0.98987,0.99024,0.99463,0.87885,0.30237,0.52168,0.26467,0.81973,0.0096535,0.0096535,0.0096535
9,670.403,0.48993,0.64773,0.47869,0.89583,0.99942,0.99765,0.995,0.9506,0.99942,0.99765,0.995,0.87392,0.33758,0.49828,0.26003,0.83842,0.009604,0.009604,0.009604
10,732.224,0.47871,0.64601,0.46242,0.88898,0.99837,0.99882,0.995,0.95016,0.99837,0.99882,0.995,0.87836,0.32089,0.48078,0.23796,0.8245,0.0095545,0.0095545,0.0095545
11,794.662,0.45986,0.62361,0.4485,0.88526,0.99482,0.9992,0.99499,0.9638,0.99482,0.9992,0.99499,0.87903,0.30354,0.45899,0.23012,0.81703,0.009505,0.009505,0.009505
12,855.969,0.44915,0.61037,0.43176,0.88037,0.99889,0.99867,0.995,0.96301,0.99889,0.99867,0.995,0.87938,0.31032,0.49397,0.23662,0.81753,0.0094555,0.0094555,0.0094555
