epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.536,0.85889,1.17723,2.3371,0.98662,0.90621,0.93214,0.98424,0.88704,0.90621,0.93214,0.98424,0.83101,0.46638,0.64866,0.75996,0.79726,0.00332386,0.00332386,0.00332386
2,424.776,0.69766,0.86344,1.04493,0.89364,0.99509,0.98934,0.9945,0.88801,0.99435,0.98862,0.99434,0.82257,0.48269,0.64959,0.53216,0.80731,0.00662424,0.00662424,0.00662424
3,481.241,0.72141,0.86023,0.94094,0.91363,0.97707,0.9707,0.99219,0.86563,0.97707,0.9707,0.99219,0.82858,0.53683,0.6498,0.51543,0.82345,0.00989162,0.00989162,0.00989162
4,536.918,0.72484,0.88232,0.87768,0.91445,0.98638,0.98936,0.9926,0.88311,0.98638,0.98936,0.9926,0.8352,0.48966,0.65517,0.45887,0.81125,0.0098515,0.0098515,0.0098515
5,593.301,0.67657,0.83363,0.80271,0.90429,0.97853,0.98174,0.9844,0.89953,0.97853,0.98174,0.9844,0.83126,0.41885,0.6245,0.4071,0.79567,0.009802,0.009802,0.009802
6,648.502,0.64348,0.7888,0.73856,0.89452,0.98671,0.97442,0.99444,0.91871,0.98671,0.97442,0.99444,0.86176,0.39287,0.57223,0.38243,0.78713,0.0097525,0.0097525,0.0097525
7,703.304,0.61627,0.76006,0.68127,0.88475,0.99563,0.99272,0.99365,0.91105,0.99563,0.99272,0.99365,0.84959,0.41721,0.59964,0.34556,0.7919,0.009703,0.009703,0.009703
8,758.875,0.58244,0.75052,0.64087,0.8775,0.98204,0.981,0.99479,0.93071,0.98204,0.981,0.99479,0.86699,0.36558,0.57378,0.32836,0.78196,0.0096535,0.0096535,0.0096535
9,814.415,0.57453,0.73642,0.61712,0.87512,0.99064,0.99177,0.99402,0.94323,0.99064,0.99177,0.99402,0.8621,0.3405,0.54738,0.28772,0.77703,0.009604,0.009604,0.009604
10,868.991,0.56375,0.74322,0.60185,0.87518,0.98945,0.9962,0.99449,0.93157,0.98945,0.9962,0.99449,0.86706,0.36312,0.55693,0.28238,0.77828,0.0095545,0.0095545,0.0095545
