epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.282,0.80226,1.06736,1.46639,1.05525,0.97219,0.97444,0.9907,0.90565,0.97219,0.97444,0.9907,0.84701,0.42825,0.57101,0.42707,0.85465,0.00332386,0.00332386,0.00332386
2,206.598,0.6024,0.74541,0.72444,0.90032,0.98972,0.98929,0.99424,0.91391,0.98972,0.98929,0.99424,0.86365,0.41249,0.54344,0.34276,0.79722,0.00662424,0.00662424,0.00662424
3,263.372,0.65722,0.75561,0.71963,0.91633,0.97844,0.97979,0.99336,0.88561,0.97816,0.98011,0.99333,0.84125,0.50947,0.60928,0.45224,0.84272,0.00989162,0.00989162,0.00989162
4,318.943,0.67032,0.79315,0.7141,0.91688,0.98988,0.99391,0.99444,0.89731,0.98988,0.99391,0.99444,0.83904,0.45028,0.61127,0.35972,0.80341,0.0098515,0.0098515,0.0098515
5,374.538,0.62803,0.78124,0.65977,0.9032,0.98253,0.9824,0.99402,0.92038,0.98253,0.9824,0.99402,0.85608,0.38624,0.57362,0.32823,0.79512,0.009802,0.009802,0.009802
6,430.155,0.59443,0.72954,0.61658,0.89123,0.99811,0.99866,0.995,0.93689,0.99811,0.99866,0.995,0.86162,0.36796,0.56068,0.28212,0.78886,0.0097525,0.0097525,0.0097525
7,485.869,0.56257,0.70733,0.57239,0.87976,0.99763,1,0.995,0.94428,0.99763,1,0.995,0.87593,0.34006,0.50748,0.25831,0.78037,0.009703,0.009703,0.009703
8,541.403,0.53772,0.68294,0.54166,0.87412,0.99583,0.99746,0.99499,0.94119,0.99583,0.99746,0.99499,0.87001,0.34269,0.54146,0.27179,0.78222,0.0096535,0.0096535,0.0096535
9,596.959,0.53001,0.66691,0.53078,0.87327,0.99692,0.99733,0.995,0.93844,0.99692,0.99733,0.995,0.86506,0.35655,0.5253,0.25413,0.78163,0.009604,0.009604,0.009604
10,652.315,0.51771,0.66817,0.5184,0.87089,0.99908,0.99828,0.995,0.95751,0.99908,0.99828,0.995,0.8728,0.32714,0.51288,0.26048,0.77389,0.0095545,0.0095545,0.0095545
11,707.284,0.50375,0.65139,0.5067,0.86822,0.997,1,0.995,0.95062,0.997,1,0.995,0.87365,0.31474,0.51583,0.23334,0.77438,0.009505,0.009505,0.009505
12,762.225,0.48388,0.64157,0.48509,0.86061,0.99819,0.99866,0.995,0.95337,0.99819,0.99866,0.995,0.8686,0.32008,0.52763,0.23162,0.77489,0.0094555,0.0094555,0.0094555
13,817.071,0.48329,0.6293,0.47912,0.85755,0.99814,0.99882,0.99499,0.95849,0.99814,0.99882,0.99499,0.87135,0.3078,0.49772,0.22548,0.76963,0.009406,0.009406,0.009406
14,871.615,0.4757,0.61628,0.4621,0.85859,0.99969,1,0.995,0.95963,0.99969,1,0.995,0.88602,0.29546,0.46477,0.21587,0.77136,0.0093565,0.0093565,0.0093565
15,926.514,0.46871,0.61284,0.4524,0.85703,0.99965,1,0.995,0.96134,0.99965,1,0.995,0.8828,0.29709,0.47146,0.20451,0.77095,0.009307,0.009307,0.009307
16,981.579,0.46078,0.60463,0.44256,0.85513,0.99882,0.99928,0.99489,0.97249,0.99882,0.99928,0.99489,0.88574,0.27336,0.4801,0.19285,0.76687,0.0092575,0.0092575,0.0092575
17,1036.55,0.45404,0.60435,0.4343,0.85114,0.99934,0.99947,0.995,0.96775,0.99934,0.99947,0.995,0.87616,0.27988,0.48695,0.20198,0.76724,0.009208,0.009208,0.009208
18,1091.28,0.44711,0.5975,0.42905,0.85279,0.99897,0.99931,0.99497,0.97353,0.99897,0.99931,0.99497,0.88687,0.27195,0.46391,0.20024,0.76378,0.0091585,0.0091585,0.0091585
19,1146.11,0.44377,0.58836,0.42197,0.85184,0.99954,0.9993,0.995,0.97003,0.99954,0.9993,0.995,0.87827,0.27901,0.48328,0.19751,0.76364,0.009109,0.009109,0.009109
20,1201,0.44288,0.59287,0.41456,0.85055,0.99935,0.99979,0.995,0.96766,0.99935,0.99979,0.995,0.88407,0.2835,0.46817,0.19427,0.76357,0.0090595,0.0090595,0.0090595
21,1255.68,0.43202,0.58507,0.40471,0.84834,0.99865,0.99868,0.995,0.97328,0.99865,0.99868,0.995,0.88604,0.25746,0.45193,0.18329,0.76345,0.00901,0.00901,0.00901
22,1310.59,0.43095,0.58813,0.4056,0.84935,0.9991,0.99928,0.995,0.98481,0.9991,0.99928,0.995,0.8966,0.24587,0.43234,0.18027,0.7625,0.0089605,0.0089605,0.0089605
23,1365.96,0.42486,0.58,0.40012,0.84722,0.99833,0.99862,0.995,0.9813,0.99833,0.99862,0.995,0.88909,0.26091,0.46739,0.18122,0.76271,0.008911,0.008911,0.008911
