epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.001,0.59068,0.8727,1.12821,0.98863,0.98315,0.97972,0.99405,0.95476,0.98315,0.97972,0.99405,0.85706,0.29346,0.50157,0.31275,0.81193,0.00332386,0.00332386,0.00332386
2,445.989,0.49053,0.65087,0.57167,0.89898,0.99554,0.99808,0.99499,0.94067,0.99554,0.99808,0.99499,0.87327,0.3376,0.48117,0.28027,0.82369,0.00662424,0.00662424,0.00662424
3,513.08,0.54777,0.67654,0.58568,0.91882,0.99047,0.99452,0.99372,0.92362,0.99047,0.99452,0.99372,0.87286,0.36347,0.48557,0.33015,0.84547,0.00989162,0.00989162,0.00989162
4,578.302,0.56253,0.71954,0.58714,0.92603,0.99315,0.9938,0.99473,0.92056,0.99315,0.9938,0.99473,0.85213,0.38973,0.61965,0.29879,0.86333,0.0098515,0.0098515,0.0098515
5,643.549,0.53624,0.71505,0.53766,0.91988,0.99489,0.99514,0.99488,0.93394,0.99489,0.99514,0.99488,0.85312,0.33725,0.57854,0.26527,0.83916,0.009802,0.009802,0.009802
6,708.722,0.51085,0.67083,0.50568,0.90524,0.99735,0.99714,0.99498,0.9549,0.99735,0.99714,0.99498,0.86994,0.31259,0.50999,0.23792,0.83048,0.0097525,0.0097525,0.0097525
7,774.631,0.48724,0.65314,0.47939,0.89568,0.98927,0.99766,0.99486,0.95262,0.98927,0.99766,0.99486,0.86594,0.31923,0.54859,0.22797,0.83345,0.009703,0.009703,0.009703
8,839.774,0.47119,0.63035,0.44868,0.89464,0.99906,0.99899,0.995,0.96428,0.99906,0.99899,0.995,0.87818,0.2942,0.49716,0.21747,0.82135,0.0096535,0.0096535,0.0096535
9,905.269,0.46083,0.62882,0.43679,0.892,0.99811,0.99902,0.995,0.96735,0.99811,0.99902,0.995,0.87941,0.28778,0.48688,0.20469,0.82266,0.009604,0.009604,0.009604
10,971.234,0.44828,0.62067,0.42371,0.88339,0.9985,0.99931,0.995,0.95469,0.9985,0.99931,0.995,0.88032,0.30851,0.46506,0.20743,0.82261,0.0095545,0.0095545,0.0095545
11,1036.86,0.43848,0.60028,0.41042,0.88251,0.99192,0.99756,0.99496,0.96747,0.99192,0.99756,0.99496,0.88292,0.27917,0.46107,0.20165,0.8164,0.009505,0.009505,0.009505
12,1103.01,0.42136,0.58877,0.388,0.8753,0.99893,0.99889,0.99499,0.96734,0.99893,0.99889,0.99499,0.87376,0.28838,0.4948,0.19659,0.81447,0.0094555,0.0094555,0.0094555
13,1168.25,0.42093,0.57914,0.38076,0.87466,0.9995,0.99901,0.995,0.97315,0.9995,0.99901,0.995,0.88281,0.27637,0.47716,0.18193,0.811,0.009406,0.009406,0.009406
14,1233.93,0.41232,0.56998,0.37399,0.87305,0.99748,0.99913,0.99497,0.9784,0.99748,0.99913,0.99497,0.88955,0.25561,0.4404,0.17979,0.80757,0.0093565,0.0093565,0.0093565
15,1300.76,0.40812,0.5708,0.35853,0.87055,0.99847,0.99824,0.995,0.97675,0.99847,0.99824,0.995,0.89071,0.26425,0.44702,0.17559,0.80806,0.009307,0.009307,0.009307
16,1366.27,0.4046,0.56483,0.3599,0.8694,0.99889,0.99928,0.99498,0.98176,0.99889,0.99928,0.99498,0.8849,0.23879,0.45022,0.16822,0.79842,0.0092575,0.0092575,0.0092575
